,,2022,2021,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
,Arizona Diamondbacks,1605199,1043010,2135510,2242695,2134375,2036216,2080145,2073730,2134795,2177617,2105432,2056519,2129183,2509924
,Atlanta Braves,3129931,2300247,2655100,2555781,2505252,2020914,2001392,2354305,2548679,2420171,2372940,2510119,2373631,2532834
,Baltimore Orioles,1368367,793229,1307807,1564192,2028424,2172344,2320590,2464473,2357561,2102240,1755461,1733018,1907163,1950075
,Boston Red Sox,2625089,1725323,2924627,2895575,2917678,2955434,2880694,2956089,2833333,3043003,3054001,3046445,3062699,3048250
,Chicago Cubs,2616780,1978934,3094865,3181089,3199562,3232420,2959812,2652113,2642682,2882756,3017966,3062973,3168859,3300200
,Chicago White Sox,1976344,1596385,1649725,1608817,1629470,1746293,1755810,1650821,1768413,1965955,2001117,2194378,2284164,2501103
,Cincinnati Reds,1395770,1505024,1808685,1629356,1836917,1894085,2419506,2476664,2534369,2347251,2213498,2060551,1747919,2058632
,Cleveland Guardians,1295869,1114368,1738642,1926701,2048138,1591667,1388905,1437393,1572926,1603596,1840835,1391644,1766242,2169760
,Colorado Rockies,2597428,1938645,2993244,3015880,2953650,2602524,2506789,2680329,2793828,2630458,2909777,2875245,2665080,2650218
,Detroit Tigers,1551149,1102623,1501430,1856970,2321599,2493859,2726048,2917209,3083397,3028033,2642045,2461237,2567185,3202654
,Houston Astros,2688998,2068509,2857367,2980549,2403671,2306623,2153585,1751829,1651883,1607733,2067016,2331490,2521076,2779287
,Kansas City Royals,1277986,1159613,1479659,1665107,2220370,2557712,2708549,1956482,1750754,1739859,1724450,1615327,1797887,1578922
,Los Angeles Angels,2457461,1512033,3019012,3020216,3019583,3016142,3012765,3095935,3019505,3061770,3166321,3250814,3240386,3336744
,Los Angeles Dodgers,3861408,2804693,3974309,3857500,3765856,3703312,3764815,3782337,3743527,3324246,2935139,3562320,3761669,3730553
,Miami Marlins,907487,642617,811302,811104,1651997,1712417,1752235,1732283,1586322,2219444,1520562,1524894,1464109,1335075
,Milwaukee Brewers,2422420,1824282,2923333,2850875,2558722,2314614,2542558,2797384,2531105,2831385,3071373,2776531,3037451,3068458
,Minnesota Twins,1801128,1310199,2294152,1959197,2051279,1963912,2220054,2250606,2477644,2776354,3168107,3223640,2416237,2302431
,New York Mets,2564737,1484665,2442532,2224995,2460622,2789602,2569753,2148808,2135657,2242803,2378549,2559738,3154262,4042047
,New York Yankees,3136207,1959854,3304404,3482855,3146966,3063405,3193795,3401624,3279589,3542406,3653680,3765807,3719358,4298655
,Oakland Athletics,787902,701430,1662211,1573616,1475721,1521506,1768175,2003628,1809302,1679013,1476792,1418391,1408783,1665256
,Philadelphia Phillies,2276736,1515890,2727421,2158124,1905354,1915144,1831080,2423852,3012403,3565718,3680718,3647249,3600693,3422583
,Pittsburgh Pirates,1257458,859498,1491439,1465316,1919447,2249021,2498596,2442564,2256862,2091918,1940429,1613399,1577853,1609076
,San Diego Padres,2987470,2191950,2396399,2147000,2138491,2351426,2459752,2195373,2166691,2123721,2143018,2131774,1922603,2427535
,San Francisco Giants,2482686,1679484,2707760,3156185,3303652,3365256,2193581,3368697,3326796,3377371,3387303,3037443,2861113,2863837
,Seattle Mariners,2287267,1215985,1791863,2299489,2135445,2267928,3375882,2064334,1761546,1721920,1896321,2085168,2195284,2329702
,St. Louis Cardinals,3320551,2102530,3480393,3403587,3447937,3444490,3520889,3540649,3369769,3262109,3093954,3301218,3343252,3430660
,Tampa Bay Rays,1128127,761072,1178735,1154973,1253619,1286163,1247668,1446464,1510300,1559681,1529188,1864999,1874962,1780791
,Texas Rangers,2011381,2110258,2132994,2107107,2507760,2710402,2491875,2718733,3178273,3460280,2946949,2505171,2156016,1945677
,Toronto Blue Jays,2653830,809557,1750144,2325281,3203886,3392299,2794891,2375525,2536562,2099663,1818103,1625555,1876129,2399786
,Washington Nationals,2026401,1465543,2259781,2529604,2524980,2481938,2619843,2579389,2652422,2370794,1940478,1828066,1817280,2320400